,artist,designer,mechanic,category,game_type,family,publisher
6377,36652,445,2070,1038,"5496,5497","5607,5586","242,1700"
6378,,3,"2013,2008",1021,,,1701
6379,,3,2015,"2650,1031",,6973,1702
6380,,3,"2014,2035","1031,1038",,6206,1703
6381,,3,"2073,2017","1079,1030",,63153,"779,230"
6382,,"1499,1500","2019,2017",1030,,,527
6383,44835,28225,2035,"1024,1027",,,1704
6384,,3233,"2073,2055,2027,2017","1064,1030",,63153,67
6385,,"838,315,1050","2004,2019","1064,1027",,65631,859
6386,11901,2570,"2047,2002",1045,,7349,22
6387,,3,,"1064,1030,1027",,101,328
6388,,7695,"2078,2035,2005","1021,1013",,69363,1706
6389,,3,"2078,2035,2004",1094,,,359
6390,,3,"2078,2035,2004","1041,1094",4665,,359
6391,,3,"2078,2035,2004",1064,,,329
6392,,3,2078,"1089,1041,1064,1031",4665,"7260,10167","661,1707"
6393,27779,,,"1032,1041,1072,1054",4665,21881,"224,42898,51"
6394,3,"3743,44005",,"1032,1041,1016",4665,"73408,61979,66787,5786,22232","1024,93,20,1479,30088"
6395,3,3,,"1032,1089,1041,1031",4665,"7349,61979","51,8291,8931,17039,4554,20,28"
6396,"61,616",61,"2012,2072,2011,2070","1055,1013,1079,1001,1086",,22783,12
6397,,3,,"1032,1089,1041,1038",4665,"58140,5607,5652",20
6398,,3,,"1032,1041,1072,1038",4665,5700,"51,20"
6399,,"2575,2573,2574",2027,1030,,,28
6400,,3743,"2035,2004","1041,1072,1064",4665,"5597,9564,61207","51,20,24099"
6401,,3,"2027,2017","1023,1030",,,20
6402,"139315,51706,56013,72536,2330,43842",63768,"2014,2999,2060","1041,1064,1098,1030",5498,"7855,7761,10407,5338,28534,39749,11505,12927,10267,10132,5863,10761,10484","171,404,74,38244,30,47043,73,2028,553,225,3815,7156,5314,507,53054,38161,18726,485,4612,64,7217,3469,253,6531,10964,10952,1270,200,354,9409,4657,103,247,5350,1425,384,51,2748,52774,897,16469,25477,233,6891,335,405,31019,127,512,2090,25318,12135,5704,19205,93,3789,20,304,47767,14350,1962,11187,7885,28,2188,5654,648,782,22,25156,115,2961,34,44714,1721,664,5392,4668,38,4622,1917,498,3080,288,964,16845,4916,1025,3814,11978,254,2062,329,16793,13476"
6403,,3,,"1089,1041",4665,"7349,5607","51,20"
6404,,3,2988,"1032,1089,1041,1072",4665,"7349,5607,9855","51,20,28"
6405,,3,"2060,2035,2004","1041,1017",4665,"28630,5862",20
6406,,"44378,10141",,"1032,1089,1041,1072",4665,"7591,6979,7975","51,1982,20,28"
6407,,3,,"1072,1030",,,28
6408,,3,,"1032,1089,1041,1038",4665,"6994,61979,5626","3082,8291,20,22,115"
6409,,"9409,9137",,1041,4665,,20
6410,,4316,2072,"1089,1041",4665,7178,1708
6411,,3,,"1089,1041",4665,,1708
6412,,3,2035,1041,4665,7519,"51,20"
6413,,3,2035,"1032,1089,1041,1064",4665,"7834,5597,63078","51,4539,8931,17039,4554,20,38"
6414,,3,,"1041,1064",4665,,51
6415,,"4877,262","2850,2860,2040,2035","1032,1041,1010,1101",,,20
6416,,3,,"1032,1041,1072",4665,"6979,5607","8931,20"
6417,3,3,"2078,2004","1021,1001",,"10167,63686",661
6418,,3864,,"1032,1041,1044",4665,,"51,20"
6419,3,3,,"1072,1064,1027",,5636,51
6420,,3,2072,"1032,1041",4665,"5607,9855","51,7471,4539,8931,17039,4554,20"
6421,,4730,,1032,,"61979,11351",20
6422,,3,2035,"1010,1064,1093,1030,1027","5498,5499","4263,101,68097,65631","51,26208"
6423,"1124,81197",1678,"2001,2080,2046,2072,2070","1102,1069,1001,1019",4664,"10646,18191,61979,28241","27853,931,992"
